https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1626926400000,2021-07-22 04:00:00,LTC/USD,116.63,122.15,115.68,120.61,15228.9831148,1836767.653476028
1626840000000,2021-07-21 04:00:00,LTC/USD,108.89,119.13,108.89,116.63,9446.3615167,1101729.1436927211
1626753600000,2021-07-20 04:00:00,LTC/USD,106.56,109.68,103.78,108.89,29193.1037758,3178837.070146862
1626667200000,2021-07-19 04:00:00,LTC/USD,118.69,120.68,105.89,106.56,26356.0366801,2808499.268631456
1626580800000,2021-07-18 04:00:00,LTC/USD,123.06,123.12,116.35,118.69,21323.6009378,2530898.195307482
1626494400000,2021-07-17 04:00:00,LTC/USD,119.88,124.08,117.77,123.06,13147.159342,1617889.42862652
1626408000000,2021-07-16 04:00:00,LTC/USD,126.77,127.57,118.48,119.88,15567.9837809,1866289.8956542918
1626321600000,2021-07-15 04:00:00,LTC/USD,129.26,129.34,122.08,126.77,22274.5373373,2823743.098249521
1626235200000,2021-07-14 04:00:00,LTC/USD,124.82,133.01,124.82,129.26,6030.3147206,779478.480784756
1626148800000,2021-07-13 04:00:00,LTC/USD,133.28,134.46,123.86,124.82,18723.8749172,2337114.0671649035
1626062400000,2021-07-12 04:00:00,LTC/USD,135.37,139.66,131.88,133.28,23399.2238649,3118648.556713872
1625976000000,2021-07-11 04:00:00,LTC/USD,132.35,136.49,132.25,135.37,12148.0255329,1644478.216388673
1625889600000,2021-07-10 04:00:00,LTC/USD,133.76,135.55,130.34,132.35,6753.5509609,893832.469675115
1625803200000,2021-07-09 04:00:00,LTC/USD,130.73,136.81,127.95,133.76,14078.2495009,1883106.6532403838
1625716800000,2021-07-08 04:00:00,LTC/USD,135.3,135.3,126.15,130.73,17225.6649566,2251911.179776318
1625630400000,2021-07-07 04:00:00,LTC/USD,140.22,143.0,133.42,135.3,19395.8842991,2624263.14566823
1625544000000,2021-07-06 04:00:00,LTC/USD,138.55,142.76,135.76,140.22,12129.3122783,1700772.167663226
1625457600000,2021-07-05 04:00:00,LTC/USD,141.27,141.94,134.0,138.55,15891.7633783,2201803.816063465
